Date,Goal,Completed
2025-07-27,Exercise,True
2025-07-27,Read,False
2025-07-27,Meditate,True
2025-07-27,Plan,True
2025-07-27,Work,False
2025-07-28,Exercise,False
2025-07-28,Read,True
2025-07-28,Meditate,True
2025-07-28,Plan,False
2025-07-28,Work,True
2025-07-29,Exercise,True
2025-07-29,Read,True
2025-07-29,Meditate,False
2025-07-29,Plan,True
2025-07-29,Work,True
2025-07-30,Exercise,True
2025-07-30,Read,False
2025-07-30,Meditate,True
2025-07-30,Plan,False
2025-07-30,Work,True
2025-07-31,Exercise,False
2025-07-31,Read,True
2025-07-31,Meditate,True
2025-07-31,Plan,True
2025-07-31,Work,False
2025-08-01,Exercise,True
2025-08-01,Read,True
2025-08-01,Meditate,False
2025-08-01,Plan,True
2025-08-01,Work,True
2025-08-02,Exercise,True
2025-08-02,Read,False
2025-08-02,Meditate,True
2025-08-02,Plan,False
2025-08-02,Work,True
2025-08-03,Exercise,False
2025-08-03,Read,True
2025-08-03,Meditate,True
2025-08-03,Plan,True
2025-08-03,Work,False
2025-08-04,Exercise,True
2025-08-04,Read,True
2025-08-04,Meditate,False
2025-08-04,Plan,True
2025-08-04,Work,True
2025-08-05,Exercise,True
2025-08-05,Read,False
2025-08-05,Meditate,True
2025-08-05,Plan,False
2025-08-05,Work,True
2025-08-06,Exercise,True
2025-08-06,Read,True
2025-08-06,Meditate,True
2025-08-06,Plan,True
2025-08-06,Work,True
